Dataset	ParentIonIndex	MZ	SurveyScanNumber	FragScanNumber	OptimalPeakApexScanNumber	PeakApexOverrideParentIonIndex	CustomSICPeak	PeakScanStart	PeakScanEnd	PeakScanMaxIntensity	PeakMaxIntensity	PeakSignalToNoiseRatio	FWHMInScans	PeakArea	ParentIonIntensity	PeakBaselineNoiseLevel	PeakBaselineNoiseStDev	PeakBaselinePointsUsed	StatMomentsArea	CenterOfMassScan	PeakStDev	PeakSkew	PeakKSStat	StatMomentsDataCountUsed
485810	28464	505.47	33082	33093	33121	-1	0	32991	33251	33121	1.4884E+07	39.63	73	1.1804E+09	9.7806E+06	375616	2.04E+06	4158	1.0961E+09	33117	31.7	0.07633	0.2586	13
485810	28465	812.23	33082	33094	33147	-1	0	33043	33251	33147	3.454E+07	737.7	86	3.0437E+09	9.9574E+06	46821	347572	2083	3.0121E+09	33146	32.8	0.02305	0.2575	13
485810	28466	673.38	33095	33096	30340	25907	0	32765	33316	32965	3.4395E+07	12.15	256	6.1883E+09	1.0628E+07	2.8317E+06	1.36E+07	4152	2.8036E+09	32977	32.3	0.11	0.2494	14
485810	28467	800.19	33095	33097	33082	-1	0	32991	33173	33082	4.8396E+06	652.2	60	2.749E+08	2.9577E+06	7420.6	63730	2077	2.7677E+08	33081	28.4	0.05352	0.2764	11
485810	28468	616.35	33095	33098	33147	-1	0	32871	33316	33147	4.9536E+07	24.02	90	4.8625E+09	2.0964E+07	2.062E+06	6.97E+06	4149	4.0453E+09	33146	35.9	0.08914	0.2421	15
485810	28469	699.95	33095	33099	33134	-1	0	33030	33238	33134	4.4218E+07	106.8	74	3.3013E+09	2.2858E+07	413972	3.19E+06	2070	3.2483E+09	33133	32.1	0.003681	0.2678	13
485810	28470	466.97	33095	33100	33134	-1	0	33043	33251	33134	1.0638E+07	50.42	85	8.8244E+08	7.4551E+06	210985	1.12E+06	4154	8.4364E+08	33135	32.5	-0.003497	0.2575	13
485810	28471	924.02	33095	33101	35174	30267	0	33030	33251	33134	1.4018E+07	155.3	71	1.0756E+09	7.3225E+06	90246	527238	2068	1.0684E+09	33140	33.2	0.04439	0.2552	14
485810	28472	874.55	33095	33102	33173	-1	0	33056	33368	33173	5.954E+07	706.6	87	5.6191E+09	6.3066E+06	84262	689092	2472	5.5525E+09	33177	34.7	0.06769	0.2494	14
485810	28473	497.79	33095	33103	33095	-1	0	32991	33238	33095	3.9374E+06	4.525	121	4.6996E+08	3.289E+06	870125	2.85E+06	4157	3.0648E+08	33106	35.5	0.1004	0.2575	13
485810	28474	605.11	33095	33104	33082	-1	0	32978	33186	33082	8.709E+06	21.28	84	7.3194E+08	7.8032E+06	409244	2.21E+06	4165	6.7314E+08	33085	29.4	-0.01788	0.2883	12
485810	28475	479.97	33095	33105	33147	-1	0	32923	33251	33147	1.6387E+07	18.95	95	1.6401E+09	1.0272E+07	864729	4.52E+06	4156	1.4417E+09	33141	34.3	-0.07098	0.2688	14
485810	28476	575.31	33095	33106	33108	-1	0	33004	33277	33108	8.0226E+06	6.22	96	8.9705E+08	8.0084E+06	1.2898E+06	5.45E+06	4168	6.4352E+08	33113	34.8	0.1667	0.2494	14
485810	28477	613.02	33095	33107	33108	-1	0	32858	33303	33108	4.6737E+06	3.235	72	6.4343E+08	4.0304E+06	1.4447E+06	7.48E+06	4153	2.5885E+08	33109	29.3	0.06216	0.2845	12
485810	28478	746.92	33108	33109	33121	-1	0	32939	33251	33121	4.7011E+06	12.63	123	5.2773E+08	4.6454E+06	372131	1.51E+06	4154	4.488E+08	33117	38.1	-0.1888	0.2514	15
485810	28479	1003.53	33108	33110	33082	-1	0	32936	33186	33082	3.882E+06	48.6	78	3.7706E+08	4.0844E+06	79870	409519	2078	3.4918E+08	33079	36.4	-0.3289	0.2609	15
485810	28480	579.36	33108	33111	33134	-1	0	32991	33381	33134	1.4723E+08	118.7	60	1.1874E+10	1.1969E+08	1.2405E+06	3.81E+06	4154	1.1339E+10	33138	33.8	0.1093	0.2494	14
485810	28481	853.47	33108	33112	33121	-1	0	32807	33303	33121	2.5474E+07	124.5	88	2.839E+09	2.7754E+07	204607	873481	2073	2.6873E+09	33124	44.1	0.09898	0.2233	18
485810	28482	539.3	33108	33113	33095	-1	0	32910	33290	33095	1.8823E+07	17.73	82	1.7588E+09	1.7683E+07	1.0615E+06	2.44E+06	4160	1.4988E+09	33098	30.9	0.1007	0.2665	12
485810	28483	676.42	33108	33114	31233	26666	0	32923	33329	33121	1.9565E+07	26.26	92	1.9168E+09	1.9032E+07	745138	3.22E+06	2070	1.7545E+09	33120	33.8	0.03703	0.2575	13
485810	28484	640.62	33108	33115	33173	-1	0	33004	33303	33173	6.4659E+07	226.6	86	5.7563E+09	1.2676E+07	285329	1.31E+06	2071	5.5533E+09	33178	35.1	0.02013	0.2494	14
485810	28485	450.63	33108	33116	33160	-1	0	32965	33303	33160	3.752E+07	176.8	84	3.5392E+09	8.2301E+06	212165	1.29E+06	4163	3.4355E+09	33169	33.7	0.1144	0.2575	13
485810	28486	548.64	33108	33117	33225	-1	0	32871	33381	33225	8.0582E+06	3.894	147	1.6006E+09	3.9287E+06	2.0694E+06	1.63E+07	4162	9.4961E+08	33197	53.2	-0.09004	0.2523	20
