Dataset	ScanNumber	ScanTime	ScanType	TotalIonIntensity	BasePeakIntensity	BasePeakMZ	BasePeakSignalToNoiseRatio	IonCount	IonCountRaw
141805	6387	35.15771	2	64118	657.75	1089.7554	18.38	291	1132
141805	6388	35.16305	2	78584	1814.7	921.1965	53.33	327	1084
141805	6389	35.16838	1	2.9254E+07	732001	919.2561	52.67	1170	1170
141805	6390	35.17416	2	251239	15424	1122.7678	199.8	331	1142
141805	6391	35.1793	2	88965	1663.2	1880.5629	36.77	303	1182
141805	6392	35.18457	2	31953	1299.1	836.3915	80.56	233	905
141805	6393	35.19046	2	53409	1271	654.3143	38.3	224	853
141805	6394	35.19583	2	58860	3047	1072.5444	102.9	256	945
141805	6395	35.20145	2	26228	925.34	934.2041	57.7	226	909
141805	6396	35.20744	2	82808	1197.9	1104.3718	24.69	257	938
141805	6397	35.21264	2	104753	4144.9	864.7735	85.62	292	1000
141805	6398	35.21777	2	44221	351.98	1108.2351	14.68	300	1210
141805	6399	35.22382	2	50492	839.59	1095.0396	35.87	341	1214
141805	6400	35.2297	1	2.7176E+07	367215	919.4451	25.27	1148	1148
141805	6401	35.23591	2	100693	3267.4	1234.7306	71.7	301	1008
141805	6402	35.24115	2	63404	507.09	970.3473	16.25	359	1244
141805	6403	35.24683	2	90588	1272.8	732.3903	29.25	333	1187
141805	6404	35.25225	2	69798	1244	1089.7537	33.36	299	1069
141805	6405	35.25772	2	35653	1474.8	1146.5156	82.42	310	1089
141805	6406	35.26371	2	158971	7382	744.1988	117.2	340	1161
141805	6407	35.26868	2	163080	2189.2	1209.9119	34.22	379	1290
141805	6408	35.2739	2	35951	463.12	1101.5449	23.29	279	1055
141805	6409	35.27976	2	22141	189.73	1084.4315	12.63	227	934
141805	6410	35.28576	2	67095	597.95	1087.3444	18.79	350	1263
141805	6411	35.29143	1	2.7199E+07	219292	876.6602	15.95	1158	1158
141805	6412	35.29798	2	30154	1364.1	1137.7949	70.86	235	897
141805	6413	35.30402	2	73423	4963.2	1186.2246	145.5	240	857
141805	6414	35.30927	2	106134	1955.1	956.6499	42.3	316	1153
141805	6415	35.31446	2	119653	4947.9	682.6885	98.19	318	1088
141805	6416	35.31961	2	64376	539.68	1033.7611	16.85	327	1230
141805	6417	35.32525	2	107165	1825.1	1353.3507	33.09	272	1010
141805	6418	35.33024	2	116995	1181.3	1401.4319	24.67	359	1267
141805	6419	35.33549	2	75408	3985.4	1764.7493	139	304	1196
141805	6420	35.34106	2	68639	618.66	1104.2466	20.48	375	1280
141805	6421	35.34692	2	113424	12212	982.6528	198.7	184	734
141805	6422	35.35175	1	2.7306E+07	355618	876.9518	27.35	1195	1195
141805	6423	35.357	2	424021	42022	1072.8311	397.7	267	919
141805	6424	35.36177	2	174894	6637.1	1223.4841	93.08	272	985
141805	6425	35.36664	2	282785	37102	1072.2043	334.2	230	813
141805	6426	35.37141	2	102526	2342.6	1268.8942	48.62	301	1058
141805	6427	35.37664	2	27306	252.55	951.0705	12.65	213	809
141805	6428	35.38247	2	89941	3579.9	1567.5798	96.49	264	1039
141805	6429	35.38759	2	74581	1618.2	1184.5814	38.12	241	893
141805	6430	35.39282	2	70565	547.46	1276.7928	16.26	344	1251
141805	6431	35.39843	2	42254	938.81	1188.543	40.89	271	985
141805	6432	35.40416	2	184933	5983.3	921.0342	88.31	354	1184
141805	6433	35.40902	1	2.4294E+07	355503	876.7312	26.82	1084	1084
141805	6434	35.41509	2	143130	4131.7	966.8911	94.09	424	1367
141805	6435	35.42065	2	75354	2222.9	954.6469	60.32	272	940
141805	6436	35.426	2	252532	10785	1122.963	108.2	288	943
141805	6437	35.43083	2	22774	365.43	1243.6273	22.05	191	763
141805	6438	35.43671	2	317897	5706.2	1398.8757	49.84	358	1182
141805	6439	35.44145	2	59134	796.63	922.9379	27.45	307	1154
141805	6440	35.44723	2	83768	8350.2	851.4749	146.9	142	577
141805	6441	35.45211	2	77052	3260.7	848.4459	96.68	295	1159
141805	6442	35.45745	2	73314	1921.5	838.1497	60.46	332	1150
141805	6443	35.46328	2	106414	1115.3	1351.5238	23.59	371	1238
141805	6444	35.46851	1	2.7695E+07	560416	876.9701	44.98	1146	1146
141805	6445	35.4745	2	389407	76193	1241.6965	1054	375	1303
141805	6446	35.4798	2	94412	2951.5	740.0112	58.22	260	906
141805	6447	35.48501	2	125423	5549.8	1393.5763	94.84	292	1109
141805	6448	35.48993	2	65402	2534	848.4493	91.47	314	1193
141805	6449	35.49546	2	48920	880.38	1287.4858	36.55	290	1132
141805	6450	35.50108	2	151454	8413	682.6171	140.2	306	1049
141805	6451	35.50617	2	67580	1428.6	1621.5433	47.23	306	1187
141805	6452	35.51172	2	130716	9076.3	1317.9402	183.5	314	1135
141805	6453	35.51696	2	67409	898.49	1060.986	29.54	358	1199
141805	6454	35.52255	2	141824	29905	976.721	540.2	187	652
141805	6455	35.52734	1	2.8705E+07	508867	876.8707	38.96	1164	1164
141805	6456	35.53316	2	66341	1132.4	1322.6655	36.82	346	1266
141805	6457	35.53922	2	82546	9366.2	1093.926	243.4	309	1182
141805	6458	35.5447	2	174296	5974.4	848.382	59.32	250	839
141805	6459	35.54953	2	31130	551.86	1584.4967	30.46	250	1026
141805	6460	35.55541	2	91989	1394.4	1221.5415	33.23	340	1228
141805	6461	35.56071	2	130963	25064	976.8421	357.8	176	656
141805	6462	35.5656	2	71996	2333.6	848.464	69.02	281	1143
